"","Destination.City","Origin.City","Airline.Status","Age","Gender","Price.Sensitivity","Year.of.First.Flight","Flights.Per.Year","Loyalty","Type.of.Travel","Total.Freq.Flyer.Accts","Shopping.Amount.at.Airport","Eating.and.Drinking.at.Airport","Class","Day.of.Month","Flight.date","Partner.Code","Partner.Name","Origin.State","Destination.State","Scheduled.Departure.Hour","Departure.Delay.in.Minutes","Arrival.Delay.in.Minutes","Flight.cancelled","Flight.time.in.minutes","Flight.Distance","Likelihood.to.recommend","olong","olat","dlong","dlat","freeText"
"1","Fargo, ND","Denver, CO","Blue",42,"Male",1,2006,4,0.4286,"Business travel",2,0,10,"Eco",5,"1/5/14","OO","Northwest Business Airlines Inc.","Colorado","North Dakota",22,167,168,"No",93,627,4,-104.9551,39.7108,-96.8207,46.8625,NA
"2","Chicago, IL","Portland, OR","Silver",34,"Male",1,2006,13,0.1333,"Business travel",2,25,0,"Eco",16,"3/16/14","WN","Cheapseats Airlines Inc.","Oregon","Illinois",6,0,0,"No",210,1751,9,-122.6511,45.5204,-87.8954,41.8271,NA
"3","Valdosta, GA","Atlanta, GA","Gold",66,"Male",1,2009,22,-0.8333,"Business travel",0,45,145,"Eco",12,"1/12/14","EV","FlyFast Airways Inc.","Georgia","Georgia",20,0,0,"No",35,208,8,-84.3319,33.8241,-83.2957,30.8759,NA
"4","Boston, MA","Philadelphia, PA","Blue",61,"Female",2,2006,26,-0.9259,"Personal Travel",0,1,20,"Eco",10,"3/10/14","US","Southeast Airlines Co.","Pennsylvania","Massachusetts",20,0,0,"No",43,280,7,-75.2984,39.9733,-71.1407,42.3731,NA
"5","Minneapolis, MN","Omaha, NE","Blue",33,"Female",2,2008,4,0.8182,"Personal Travel",1,245,75,"Eco",19,"2/19/14","DL","Sigma Airlines Inc.","Nebraska","Minnesota",19,0,0,"No",52,282,8,-96.0346,41.2349,-93.2798,44.9782,NA
"6","Dallas, TX","Houston, TX","Blue",31,"Female",1,2004,17,-0.4167,"Personal Travel",4,0,5,"Eco",25,"2/25/14","WN","Cheapseats Airlines Inc.","Texas","Texas",15,51,46,"No",41,239,4,-95.3935,29.7843,-96.972,32.8127,NA
"7","Cleveland, OH","Boston, MA","Silver",33,"Female",2,2012,7,0.4815,"Business travel",2,90,165,"Eco",7,"2/7/14","EV","FlyFast Airways Inc.","Massachusetts","Ohio",20,0,0,"No",106,563,9,-71.1407,42.3731,-81.6054,41.4436,NA
"8","Tampa, FL","Buffalo, NY","Silver",43,"Male",2,2009,21,0.2881,"Business travel",3,62,92,"Eco",4,"3/4/14","WN","Cheapseats Airlines Inc.","New York","Florida",16,27,46,"No",159,1053,10,-78.8237,42.9249,-82.5132,28.0062,NA
"9","Salt Lake City, UT","Pocatello, ID","Gold",42,"Female",1,2007,3,0.4,"Business travel",1,15,145,"Eco",5,"2/5/14","OO","Northwest Business Airlines Inc.","Idaho","Utah",18,0,0,"No",39,150,9,-112.4468,42.8833,-111.9295,40.6408,NA
"10","Indianapolis, IN","Las Vegas, NV","Blue",39,"Male",1,2003,20,0.1111,"Business travel",2,30,64,"Eco",22,"3/22/14","WN","Cheapseats Airlines Inc.","Nevada","Indiana",9,0,0,"No",170,1590,10,-115.1672,36.1349,-86.1455,39.8113,NA
"11","Miami, FL","Los Angeles, CA","Platinum",64,"Male",1,2009,2,0.5556,"Business travel",3,0,165,"Business",21,"2/21/14","AA","Paul Smith Airlines Inc.","California","Florida",14,0,0,"No",240,2342,10,-118.1043,33.9827,-80.2314,26.1756,NA
"12","Des Moines, IA","Houston, TX","Blue",28,"Male",2,2011,17,0.0556,"Personal Travel",2,0,120,"Eco",1,"2/1/14","OO","Northwest Business Airlines Inc.","Texas","Iowa",19,10,20,"No",99,802,1,-95.3935,29.7843,-93.6561,41.6194,NA
"13","Atlanta, GA","Fort Wayne, IN","Silver",37,"Male",1,2003,17,-0.0625,"Business travel",3,0,30,"Eco",11,"3/11/14","OO","Northwest Business Airlines Inc.","Indiana","Georgia",12,0,7,"No",91,508,9,-85.1389,41.1004,-84.3319,33.8241,NA
"14","Kahului, HI","Los Angeles, CA","Blue",30,"Female",1,2011,3,0.5385,"Business travel",1,10,70,"Eco",28,"2/28/14","DL","Sigma Airlines Inc.","California","Hawaii",8,6,40,"No",345,2486,9,-118.1043,33.9827,-156.4779,20.8864,NA
"15","Gainesville, FL","Atlanta, GA","Blue",36,"Female",1,2003,36,-0.2632,"Personal Travel",1,0,50,"Eco",6,"3/6/14","EV","FlyFast Airways Inc.","Georgia","Florida",8,3,5,"No",64,300,4,-84.3319,33.8241,-82.371,29.6568,NA
"16","Baltimore, MD","Detroit, MI","Blue",60,"Male",1,2004,2,0.6,"Business travel",0,10,300,"Eco",29,"1/29/14","WN","Cheapseats Airlines Inc.","Michigan","Maryland",6,6,0,"No",65,409,6,-83.2276,42.49,-76.6478,39.2341,NA
